,T_Dataset,T_Stride,T_Epochs,T_Dataset2,T_Stride2,T_Epochs2,A_Depth,A_Repetitions,A_InitChannels,T_DataAug,A_MSUpsampling,A_ASPP,A_HyperDense,A_Module,T_Loss,T_Optimizer,A_DropoutRate,A_LvlGrowth,A_Strategy,T_LearningRate,A_KernelInitializer,T_BatchSize,A_KernelSize,A_OutChannels,A_MaxPooling,P_ElementSize,D_MaxSize,D_fs,T_Window,T_Seed,T_LRPatience,T_Patience,T_ValidationSplit
74,manual0,64,250,,,,3,1,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
75,manual0,64,250,,,,3,2,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
76,manual0,64,250,,,,3,3,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
77,manual0,64,250,,,,3,4,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
78,manual0,64,250,,,,3,5,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
79,manual0,64,250,,,,3,6,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
80,manual0,64,250,,,,4,1,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
81,manual0,64,250,,,,4,2,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
82,manual0,64,250,,,,4,3,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
83,manual0,64,250,,,,4,4,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
84,manual0,64,250,,,,4,5,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
85,manual0,64,250,,,,4,6,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
86,manual0,64,250,,,,3,3,32,TRUE,TRUE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
87,manual0,64,250,,,,3,3,32,TRUE,FALSE,TRUE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
88,manual0,64,250,,,,3,3,32,TRUE,FALSE,FALSE,TRUE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,manual0,64,100,,,,4,4,32,TRUE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
90,manual0,64,100,,,,4,4,32,TRUE,FALSE,FALSE,FALSE,residual,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
91,manual0,64,100,,,,4,4,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
92,manual0,64,100,,,,4,4,32,TRUE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
93,manual0,64,100,,,,4,4,32,TRUE,FALSE,FALSE,FALSE,residual,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
94,manual0,64,100,,,,4,4,32,TRUE,FALSE,FALSE,FALSE,xception,jaccard,Adam,0.25,2,multi,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
95,automatic,1024,100,manual0,64,50,4,4,32,FALSE,FALSE,FALSE,FALSE,vanilla,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
96,automatic,1024,100,manual0,64,50,4,4,32,FALSE,FALSE,FALSE,FALSE,residual,jaccard,Adam,0.25,2,single,0.001,xavier_uniform,64,3,3,FALSE,50,225000,250,2048,1234,10,25,0.2
